Date,Category,Description,Amount,Payment_Method,Type
2024-01-01,Transport,Transport expense,476.84,UPI,Expense
2024-01-01,Salary,Monthly Salary,53226.0,Net Banking,Income
2024-01-02,Entertainment,Entertainment expense,1234.02,Credit Card,Expense
2024-01-02,Transport,Transport expense,76.99,Credit Card,Expense
2024-01-02,Rent,Rent expense,10335.96,Credit Card,Expense
2024-01-03,Food,Food expense,538.17,Net Banking,Expense
2024-01-04,Food,Food expense,591.5,Net Banking,Expense
2024-01-05,Education,Education expense,504.28,UPI,Expense
2024-01-05,Others,Others expense,945.35,UPI,Expense
2024-01-05,Shopping,Shopping expense,233.92,UPI,Expense
2024-01-05,Food,Food expense,443.58,Credit Card,Expense
2024-01-06,Transport,Transport expense,51.93,Net Banking,Expense
2024-01-06,Others,Others expense,387.52,Net Banking,Expense
2024-01-07,Food,Food expense,513.79,Net Banking,Expense
2024-01-08,Transport,Transport expense,492.12,Net Banking,Expense
2024-01-08,Rent,Rent expense,14019.58,Cash,Expense
2024-01-09,Shopping,Shopping expense,2362.4,Cash,Expense
2024-01-09,Food,Food expense,756.65,Net Banking,Expense
2024-01-10,Bills,Bills expense,1463.54,UPI,Expense
2024-01-10,Food,Food expense,223.17,Credit Card,Expense
2024-01-10,Food,Food expense,562.45,Cash,Expense
2024-01-11,Shopping,Shopping expense,4199.34,Debit Card,Expense
2024-01-11,Food,Food expense,343.3,Credit Card,Expense
2024-01-11,Food,Food expense,616.52,Credit Card,Expense
2024-01-12,Transport,Transport expense,127.73,UPI,Expense
2024-01-12,Bills,Bills expense,578.28,UPI,Expense
2024-01-12,Entertainment,Entertainment expense,954.53,Cash,Expense
2024-01-13,Transport,Transport expense,465.53,Debit Card,Expense
2024-01-14,Shopping,Shopping expense,1767.4,Net Banking,Expense
2024-01-14,Bills,Bills expense,1802.09,Debit Card,Expense
2024-01-14,Others,Others expense,1274.57,UPI,Expense
2024-01-15,Shopping,Shopping expense,2790.52,Net Banking,Expense
2024-01-15,Bills,Bills expense,2913.14,UPI,Expense
2024-01-15,Shopping,Shopping expense,1524.8,Cash,Expense
2024-01-15,Food,Food expense,173.95,UPI,Expense
2024-01-16,Food,Food expense,367.55,Debit Card,Expense
2024-01-16,Transport,Transport expense,167.94,Net Banking,Expense
2024-01-16,Food,Food expense,199.13,Debit Card,Expense
2024-01-16,Shopping,Shopping expense,3992.84,Net Banking,Expense
2024-01-16,Shopping,Shopping expense,4646.24,Credit Card,Expense
2024-01-17,Shopping,Shopping expense,4591.81,UPI,Expense
2024-01-18,Health,Health expense,1907.91,Debit Card,Expense
2024-01-18,Food,Food expense,328.11,UPI,Expense
2024-01-19,Shopping,Shopping expense,3396.43,UPI,Expense
2024-01-19,Bills,Bills expense,1186.8,Cash,Expense
2024-01-20,Bills,Bills expense,1457.32,Cash,Expense
2024-01-20,Others,Others expense,1280.93,Debit Card,Expense
2024-01-20,Shopping,Shopping expense,1332.73,Credit Card,Expense
2024-01-21,Food,Food expense,80.33,Debit Card,Expense
2024-01-21,Shopping,Shopping expense,732.28,Credit Card,Expense
2024-01-21,Transport,Transport expense,124.81,Debit Card,Expense
2024-01-22,Health,Health expense,2006.41,Net Banking,Expense
2024-01-23,Bills,Bills expense,2238.79,Net Banking,Expense
2024-01-23,Food,Food expense,503.31,Credit Card,Expense
2024-01-24,Bills,Bills expense,1007.65,Cash,Expense
2024-01-24,Education,Education expense,3793.76,Cash,Expense
2024-01-25,Shopping,Shopping expense,4426.25,Net Banking,Expense
2024-01-25,Shopping,Shopping expense,1619.04,Credit Card,Expense
2024-01-25,Food,Food expense,392.4,Debit Card,Expense
2024-01-26,Food,Food expense,362.38,Credit Card,Expense
2024-01-27,Health,Health expense,1432.51,Debit Card,Expense
2024-01-28,Food,Food expense,317.22,Debit Card,Expense
2024-01-28,Education,Education expense,1996.73,UPI,Expense
2024-01-28,Shopping,Shopping expense,202.5,Credit Card,Expense
2024-01-28,Transport,Transport expense,173.25,Net Banking,Expense
2024-01-29,Food,Food expense,450.57,Credit Card,Expense
