Month_Num,Total_Expense,Total_Income,Savings,Savings_Rate_%
1,123847.7,53226.0,-70621.7,-132.68
2,148747.98,50931.0,-97816.98000000001,-192.06
3,172200.02,50141.0,-122059.01999999999,-243.43
4,175018.73,50000.0,-125018.73000000001,-250.04
5,183933.36,48005.0,-135928.36,-283.15
6,205957.37,51191.0,-154766.37,-302.33
7,139345.56,53181.0,-86164.56,-162.02
8,202585.18,48116.0,-154469.18,-321.03
9,181171.1,48703.0,-132468.1,-271.99
10,150859.28,50190.0,-100669.28,-200.58
11,156358.19,54346.0,-102012.19,-187.71
12,160788.43,51215.0,-109573.43,-213.95
